[ 2025-03-08 21:07:45,849 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-08 21:07:53,785 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-08 21:07:53,785 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-08 21:07:53,785 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-08 21:07:53,817 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-08 21:07:53,817 ] 19 root - INFO - Data initiation completed
[ 2025-03-08 21:07:53,817 ] 21 root - INFO - Initiate the data validation
[ 2025-03-08 21:07:53,845 ] 33 root - INFO - Required number of columns:2
[ 2025-03-08 21:07:53,845 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-08 21:07:53,845 ] 33 root - INFO - Required number of columns:2
[ 2025-03-08 21:07:53,845 ] 34 root - INFO - Data frame has columns:31
[ 2025-03-08 21:07:53,938 ] 25 root - INFO - Data validation completed
[ 2025-03-08 21:07:53,938 ] 28 root - INFO - Data transformation started
[ 2025-03-08 21:07:53,938 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-08 21:07:53,938 ] 66 root - INFO - Starting data transformation
[ 2025-03-08 21:07:53,961 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-08 21:07:53,961 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-08 21:07:53,970 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-08 21:07:53,973 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-08 21:07:53,973 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-08 21:07:53,975 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-08 21:07:53,975 ] 32 root - INFO - Data transformation completed
[ 2025-03-08 21:07:53,975 ] 33 root - INFO - Model training stared
